Date ,Visits 
2009 DEC,2214
2010 JAN,2104
2010 FEB,1732
2010 MAR,2068
2010 APR,2309
2010 MAY,2793
2010 JUN,2653
2010 JUL,3280
2010 AUG,3197
2010 SEP,2508
2010 OCT,2724
2010 NOV,2355
2010 DEC,2081
2011 JAN,2065
2011 FEB,1725
2011 MAR,2323
2011 APR,2663
2011 MAY,2789
2011 JUN,2856
2011 JUL,3362
2011 AUG,3206
2011 SEP,2604
2011 OCT,2798
2011 NOV,2264
2011 DEC,2143
2012 JAN,2246
2012 FEB,1736
2012 MAR,2267
2012 APR,2917
2012 MAY,2970
2012 JUN,2570
2012 JUL,3158
2012 AUG,3016
2012 SEP,2612
2012 OCT,2690
2012 NOV,2476
2012 DEC,2427
2013 JAN,2200
2013 FEB,1951
2013 MAR,2181
2013 APR,2888
2013 MAY,3084
2013 JUN,2897
2013 JUL,3304
2013 AUG,3535
2013 SEP,2806
2013 OCT,2980
2013 NOV,2443
2013 DEC,2420
2014 JAN,2359
2014 FEB,2099
2014 MAR,2352
2014 APR,2952
2014 MAY,3274
2014 JUN,3264
2014 JUL,3470
2014 AUG,3576
2014 SEP,2984
2014 OCT,3008
2014 NOV,2625
2014 DEC,2417
2015 JAN,2419
2015 FEB,2099
2015 MAR,2431
2015 APR,3155
2015 MAY,3578
2015 JUN,3250
2015 JUL,3710
2015 AUG,3708
2015 SEP,3081
2015 OCT,3454
2015 NOV,2648
2015 DEC,2581
2016 JAN,2599
2016 FEB,2314
2016 MAR,2638
2016 APR,3115
2016 MAY,3586
2016 JUN,3267
2016 JUL,3786
2016 AUG,3757
2016 SEP,3116
2016 OCT,3346
2016 NOV,3167
2016 DEC,2919
2017 JAN,2935
2017 FEB,2370
2017 MAR,3002
2017 APR,3756
2017 MAY,3559
2017 JUN,3562
2017 JUL,4043
2017 AUG,3957
2017 SEP,3110
2017 OCT,3202
2017 NOV,3095
2017 DEC,2624
2018 JAN,2507
2018 FEB,2380
2018 MAR,2996
2018 APR,3338
2018 MAY,3475
2018 JUN,3243
2018 JUL,3901
2018 AUG,3848
2018 SEP,3054
2018 OCT,3343
2018 NOV,2955
2018 DEC,2866
2019 JAN,2693
2019 FEB,2254
2019 MAR,3009
2019 APR,3133
2019 MAY,3331
2019 JUN,3581
2019 JUL,3970
2019 AUG,4120
